,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2019-11-15,129.23,129.53,128.4,129.53,129.53,9384758.0,0.0,1.0
2019-11-14,127.72,128.84,127.59,128.6,128.6,7342030.0,0.0,1.0
2019-11-13,128.13,128.82,127.42,128.48,128.48,8023300.0,0.0,1.0
2019-11-12,129.63,130.62,129.01,129.16,129.16,9099000.0,0.0,1.0
2019-11-11,129.6,130.1,129.35,129.92,129.92,8679000.0,0.0,1.0
2019-11-08,129.88,130.4,129.25,130.38,130.38,9293400.0,0.0,1.0
2019-11-07,130.43,131.29,129.92,130.0,130.0,13528900.0,0.0,1.0
2019-11-06,128.69,129.84,128.58,129.3,129.3,11231100.0,0.0,1.0
2019-11-05,129.39,130.3,128.84,129.1,129.1,13747600.0,0.0,1.0
2019-11-04,129.08,129.42,128.56,128.82,128.82,9159900.0,0.0,1.0
2019-11-01,126.2,127.99,126.02,127.8,127.8,11682600.0,0.0,1.0
2019-10-31,125.49,125.73,123.86,124.92,124.92,11589000.0,0.0,1.0
2019-10-30,126.05,126.26,124.92,125.73,125.73,8513300.0,0.0,1.0
2019-10-29,126.06,127.42,125.94,126.43,126.43,9797300.0,0.0,1.0
2019-10-28,126.57,127.21,126.4,126.51,126.51,9522200.0,0.0,1.0
2019-10-25,125.0,126.65,124.75,126.03,126.03,9055700.0,0.0,1.0
2019-10-24,125.29,125.66,124.07,125.03,125.03,8020500.0,0.0,1.0
2019-10-23,124.2,125.15,124.17,125.12,125.12,8828300.0,0.0,1.0
2019-10-22,123.45,125.1,123.12,124.79,124.79,12549100.0,0.0,1.0
2019-10-21,122.05,123.77,121.99,123.55,123.55,12714600.0,0.0,1.0
2019-10-18,120.0,121.02,119.86,120.56,120.56,10417400.0,0.0,1.0
2019-10-17,120.75,121.57,119.88,120.35,120.35,10818500.0,0.0,1.0
2019-10-16,119.96,120.62,119.38,119.68,119.68,11087700.0,0.0,1.0
2019-10-15,118.85,121.59,117.87,119.96,119.96,23379000.0,0.0,1.0
2019-10-14,115.85,116.87,115.66,116.45,116.45,8779000.0,0.0,1.0
2019-10-11,116.03,117.99,115.87,116.14,116.14,15076500.0,0.0,1.0
2019-10-10,113.14,115.4,113.0,114.21,114.21,10994100.0,0.0,1.0
2019-10-09,112.67,113.16,112.07,112.63,112.63,7273700.0,0.0,1.0
2019-10-08,113.06,113.06,111.66,111.82,111.82,10806300.0,0.0,1.0
2019-10-07,114.19,115.5,114.07,114.37,114.37,6771600.0,0.0,1.0
2019-10-04,112.34,114.94,112.27,114.62,114.62,9453100.0,0.0,1.0
2019-10-03,112.27,112.91,110.52,112.19,112.19,12735200.0,0.9,1.0
2019-10-02,114.81,114.9,112.93,113.25,112.35,12548700.0,0.0,1.0
2019-10-01,118.4,119.0,115.41,115.55,114.6317,11250300.0,0.0,1.0
2019-09-30,118.36,118.77,117.22,117.69,116.7547,9755000.0,0.0,1.0
